production_companies_list,faturamento_total,faturamento_media,faturamento_menor,faturamento_maior,count,budget_total,budget_media,budget_menor,budget_maior
One Race,6709960937,516150841.3076923,2636637,1515341399,13,1723000000,132538461.53846154,13000000,340000000
United Artists,6709002203,51213757.27480916,20311,354825435,131,1804646222,13775925.358778626,200000,110000000
Scott Free Productions,6369123119,129982104.46938775,225861,630600000,49,3151845202,64323371.469387755,45202,200000000
Silver Pictures,6216764553,124335291.06,2800000,738599701,50,2606500000,52130000.0,7000000,150000000
1492 Pictures,5946463123,330359062.3888889,5409517,976475550,18,1613000000,89611111.1111111,18000000,150000000
The Donners' Company,5918342970,295917148.5,14782676,783100000,20,2014000000,100700000.0,11000000,250000000
New Regency Pictures,5847564353,108288228.75925925,148701,903992901,54,2229885373,41294173.574074075,385373,135000000
20th Century Fox Animation,5841427138,417244795.5714286,97437106,886686817,14,1242000000,88714285.71428572,50000000,111000000
Temple Hill Entertainment,5839591461,278075783.85714287,593683,829747654,21,1000000000,47619047.61904762,10000000,120000000
The Kennedy/Marshall Company,5758070694,239919612.25,1037335,672806292,24,1911000020,79625000.83333333,14000020,150000000
Blue Sky Studios,5743990032,441845387.0769231,171616764,886686817,13,1192000000,91692307.6923077,59000000,111000000
Blumhouse Productions,5721223199,89394112.484375,7556,278454358,64,536465000,8382265.625,100000,48000000
Genre Films,5538420184,346151261.5,49169594,785896609,16,1494000000,93375000.0,17000000,200000000
Davis Entertainment,5528505103,122855668.95555556,793775,347234916,45,2472000000,54933333.333333336,7000000,200000000
Focus Features,5506111067,52439153.01904762,24084,571006128,105,2199068297,20943507.59047619,500000,70000000
Walt Disney Feature Animation,5394573285,283924909.7368421,35348597,763455561,19,1530431000,80549000.0,18000000,150000000
Spyglass Entertainment,5355017533,133875438.325,5367030,672806292,40,2375000000,59375000.0,8000000,175000000
Sony Pictures Animation,5332454091,313673770.0588235,93320380,683241751,17,1316000000,77411764.70588236,35000000,110000000
Tom DeSanto/Don Murphy Production,5277076426,753868060.8571428,429800000,1123794079,7,1302000000,186000000.0,135000000,217000000
Pacific Data Images,5262975096,526297509.6,171757863,928760770,10,1207000000,120700000.0,60000000,160000000
Screen Gems,5129991006,69324202.78378378,598645,312242626,74,1706450531,23060142.31081081,1000000,70000000
DC Comics,5078302986,203132119.44,39091,1004558444,25,1728377800,69135112.0,1377800,270000000
Scott Rudin Productions,4995752443,89209865.05357143,46495,264118201,56,2178693356,38905238.5,258158,140000000
The Weinstein Company,4926143934,73524536.3283582,143485,425368238,67,2002779734,29892234.835820895,4000000,100000000
Matt Tolmach Productions,4794374775,684910682.1428572,167500000,995339117,7,931000000,133000000.0,75000000,215000000
Arad Productions,4791555216,435595928.72727275,26000000,856085151,11,1213000000,110272727.27272727,20000000,215000000
Danjaq,4666174552,259231919.55555555,59567035,1142471295,18,948900000,52716666.666666664,1200000,200000000
Studio Babelsberg,4626034522,128500958.94444445,1015760,653428261,36,1958960198,54415561.05555555,9000000,160000000
Don Simpson/Jerry Bruckheimer Films,4596619739,328329981.35714287,11439193,1488732821,14,785000000,56071428.571428575,7000000,170000000
Chernin Entertainment,4590694358,218604493.23809522,8654322,710644566,21,1497200000,71295238.09523809,12600000,170000000
Dimension Films,4552951395,61526370.2027027,6374,278019771,74,1720350000,23247972.972972974,350000,88000000
Perfect World Pictures,4521524559,141297642.46875,2000000,415484914,32,1492500000,46640625.0,10000000,175000000
Vertigo Entertainment,4441881948,138808810.875,69564,701800000,32,1202000000,37562500.0,4500000,145000000
Sunswept Entertainment,4378855203,336835015.61538464,8179416,829747654,13,911000000,70076923.07692307,20000000,120000000
Malpaso Productions,4335843616,90330075.33333333,2000000,542307423,48,1346825000,28058854.166666668,725000,90000000
The Safran Company,4323444235,196520192.5,921752,1148528393,22,955345023,43424773.77272727,1987650,185000000
DC Entertainment,4293557894,330273684.15384614,39091,1081041287,13,1375500000,105807692.3076923,1000000,250000000
Moving Picture Company,4266437299,355536441.5833333,34227298,1045713802,12,1756000000,146333333.33333334,40000000,379000000
Seven Bucks Productions,4249795353,386345032.09090906,178143,995339117,11,1350000000,122727272.72727273,11000000,200000000
Walden Media,4198703526,161488597.15384614,12225023,745013115,26,1708900000,65726923.07692308,13000000,225000000
TF1 Films Production,4150579401,72817182.4736842,390659,458863600,57,1628805976,28575543.43859649,823258,177200000
Nickelodeon Movies,4132028494,133291241.74193548,4700000,485004754,31,1904400000,61432258.06451613,3000000,150000000
Overbrook Entertainment,4088506633,240500390.17647058,27640028,629443428,17,1299000000,76411764.70588236,11000000,150000000
Centropolis Entertainment,4073133377,290938098.35714287,187674,817400891,14,1434500000,102464285.71428572,13500000,200000000
Roth Films,3958323442,329860286.8333333,22126842,1025467110,12,1408000000,117333333.33333333,12000000,200000000
Happy Madison Productions,3932321627,126849084.74193548,2500000,271430189,31,1657200000,53458064.51612903,5000000,90000000
Mandate International,3877419451,68024902.6491228,100688,371353001,57,1757500000,30833333.333333332,5000000,200000000
Thunder Road,3785187410,164573365.6521739,2927708,493214993,23,1394000000,60608695.652173914,9000000,150000000
Ian Bryce Productions,3669577001,917394250.25,605425157,1123794079,4,822000000,205500000.0,195000000,217000000
Cruel & Unusual Films,3665484782,407276086.8888889,89792502,873637528,9,1192000000,132444444.44444445,26000000,300000000
Tim Burton Productions,3608453098,225528318.625,28883511,1025467110,16,1402000000,87625000.0,10000000,200000000
